Afghanistan,371753,428808
Albania,157143,176643
Algeria,931769,1094262
AmericanSamoa,1234,1441
Andorra,6145,6043
Angola,259637,301658
Anguilla,658,676
AntiguaandBarbuda,2886,3816
Argentina,2036545,2869985
Armenia,128600,193383
Aruba,5346,8279
Australia,1569197,1828611
Austria,670750,906605
Azerbaijan,232297,377586
The Bahamas,8591,13828
Bahrain,17106,18387
Bangladesh,4082544,4237592
Barbados,12068,18390
Belarus,430225,933646
Belgium,836685,1147922
Belize,5848,6544
Benin,112830,170373
Bermuda,4821,6652
Bhutan,23153,21000
Bolivia,232514,293493
BosniaandHerzegovina,199515,313713
Botswana,34567,51888
Brazil,6507069,8805247
Brunei,8301,8756
Bulgaria,538720,799849
BurkinaFaso,171284,280944
Burma,1277919,1659588
Burundi,109434,149429
CaboVerde,10322,17034
Cambodia,229684,380953
Cameroon,337490,386740
Canada,2670482,3348434
CaymanIslands,2870,3219
CentralAfricanRepublic,73914,114421
Chad,140592,197532
Chile,720681,1005268
China,62646075,68102830
Colombia,1293258,1806000
Comoros,13696,15323
Congo(Brazzaville),60400,78559
Congo(Kinshasa),849840,1169679
CookIslands,548,566
CostaRica,154467,179604
Coted'Ivoire,361135,383710
Croatia,320898,474129
Cuba,625330,768313
Curacao,8386,11876
Cyprus,57188,74534
CzechRepublic,766402,1097242
Denmark,457175,565908
Djibouti,12875,15788
Dominica,3386,4342
DominicanRepublic,336712,392668
Ecuador,514549,562118
Egypt,1949145,2381241
ElSalvador,187664,235331
EquatorialGuinea,12310,16849
Eritrea,102525,134246
Estonia,77492,156275
Ethiopia,1242171,1511558
FaroeIslands,3819,4060
Fiji,24282,28541
Finland,439014,604816
France,5197519,6941607
FrenchPolynesia,9713,10280
Gabon,27117,36561
The Gambia,29793,33671
GazaStrip,19617,28111
Georgia,295673,459858
Germany,7468552,9659265
Ghana,489566,565052
Gibraltar,2156,2231
Greece,954605,1227269
Greenland,2550,2230
Grenada,4739,5638
Guam,6228,7464
Guatemala,286041,330140
Guernsey,5469,6668
Guinea,182084,230428
Guinea-Bissau,21236,34364
Guyana,16318,22770
Haiti,183627,227659
Honduras,150681,193520
HongKong,493399,554663
Hungary,661256,1107602
Iceland,19754,23170
India,34133175,37810599
Indonesia,7176865,9308056
Iran,1941692,2246762
Iraq,487841,561797
Ireland,275114,323036
IsleofMan,7839,9045
Israel,368318,466670
Italy,5548047,7403693
Jamaica,102377,126363
Japan,14218655,18531653
Jersey,6464,8677
Jordan,161180,174047
Kazakhstan,429565,821206
Kenya,548431,708048
Kiribati,1630,2510
North Korea,826175,1590281
South Korea,2570433,3639083
Kosovo,54059,74884
Kuwait,29312,32011
Kyrgyzstan,105651,169816
Laos,116299,141006
Latvia,121668,251550
Lebanon,180532,214466
Lesotho,52955,51973
Liberia,62475,63730
Libya,126691,124479
Liechtenstein,2713,3257
Lithuania,207222,389345
Luxembourg,33892,46365
Macau,25254,28670
Macedonia,111090,148074
Madagascar,334533,403514
Malawi,198561,269642
Malaysia,777338,862577
Maldives,7974,8807
Mali,246084,245001
Malta,32903,40868
MarshallIslands,1187,1239
Mauritania,53705,72842
Mauritius,45145,66643
Mexico,3594675,4374840
Micronesia,1576,1974
Moldova,151629,247143
Monaco,4020,4981
Mongolia,49314,70877
Montenegro,36081,55087
Montserrat,196,124
Morocco,940291,1148984
Mozambique,332013,390599
Namibia,41697,54659
Nauru,73,111
Nepal,648917,755111
Netherlands,1331258,1633067
NewCaledonia,10135,12579
NewZealand,290429,338974
Nicaragua,127699,155849
Niger,234079,226242
Nigeria,2621845,2861826
NorthernMarianaIslands,1122,1240
Norway,375909,453748
Oman,53320,53040
Pakistan,3951190,4490045
Palau,410,1089
Panama,129091,150850
PapuaNewGuinea,134396,123848
Paraguay,206089,235615
Peru,979854,1086208
Philippines,2103596,2773139
Poland,2224569,3513339
Portugal,824062,1191548
PuertoRico,265674,348334
Qatar,11226,6858
Romania,1346864,1988841
Russia,5783983,13105896
Rwanda,125862,182378
SaintBarthelemy,514,515
SaintHelena,543,522
SaintKittsandNevis,1834,2234
SaintLucia,7760,9396
SaintMartin,978,1210
SaintPierreandMiquelon,421,600
SaintVincentandtheGrenadines,4083,4748
Samoa,4647,6011
SanMarino,2756,3413
SaoTomeandPrincipe,2523,3063
SaudiArabia,444302,420146
Senegal,179444,216314
Serbia,508751,732098
Seychelles,2592,4123
SierraLeone,91198,122308
Singapore,214665,258442
SintMaarten,1342,1438
Slovakia,288441,470509
Slovenia,142954,212821
SolomonIslands,11952,12851
Somalia,92707,144444
SouthAfrica,1205657,1826638
SouthSudan,136932,106806
Spain,3582643,4833478
SriLanka,812669,1092689
Sudan,633083,523353
Suriname,14041,18442
Swaziland,21321,32364
Sweden,882653,1045190
Switzerland,616009,798419
Syria,402869,481691
Taiwan,1301420,1502672
Tajikistan,107137,148605
Tanzania,629483,833910
Thailand,2830418,3625336
Timor-Leste,21214,23044
Togo,104277,136406
Tonga,3044,3619
TrinidadandTobago,50107,65564
Tunisia,423350,439151
Turkey,2517219,2973310
Turkmenistan,95391,123843
TurksandCaicosIslands,910,1139
Tuvalu,242,342
Uganda,327771,415075
Ukraine,2310652,4734902
UnitedArabEmirates,35071,20388
UnitedKingdom,4990024,6182114
UnitedStates,20304644,25874360
Uruguay,185132,279376
Uzbekistan,588881,791609
Vanuatu,5020,4766
Venezuela,755183,959829
Vietnam,2034721,3260435
British VirginIslands,1258,1324
U.S. VirginIslands,8758,10587
WallisandFutuna,663,728
WestBank,43629,60315
WesternSahara,9002,11497
Yemen,320426,367019
Zambia,151471,198838
Zimbabwe,193385,293057
